comment,date,author,like_count,reply_count
Pedophiles 💀💀,2023-01-19T21:30:59Z,Dark Side,0,0
New case study kb aayegi ☺️☺️☺️☺️,2023-01-19T19:15:20Z,Anshu Kumari,0,0
Salute to phoolan devi,2023-01-19T18:35:34Z,Price Rayhan,0,0
Do u know the connection between Sher Singh Rana and samrat Prithviraj Chauhan ?,2023-01-19T18:00:42Z,east_india _memes,0,0
Please make video on Idhao University murder,2023-01-19T16:57:55Z,ishubhamrohilla,0,0
Please make a video on Marianna Bachmeir,2023-01-19T16:41:53Z,Harshit Kumar,0,0
make a video on andrew tate and on his case and please make it fair and not how many guys are white washing andrew tate under conspiracies,2023-01-19T14:52:16Z,Apoorva SHARMA,0,0
Bro i wanna give u suggestion make 1 vid on akku yadav's  case 2004 murder in courtroom!!!,2023-01-19T14:22:40Z,Ishaan Gadpayale,0,0
"Lol
The movie was just recomended below the video
It is named bandit Queen on
Youtube",2023-01-19T13:54:42Z,Nandan Sonde,0,0
"I know you mostly take request on upi but I really wanted to request you 2 cases here 
""Thai Nursery Massacre case - 2022""  ""Ampatuan Massacre - 2009 Philippines"" both were a big issues worldwide and sensational but little explored",2023-01-19T13:11:36Z,Riya Mandal,0,0
She was never born like that she was made what she ended up being.The society and the people around her made her.,2023-01-19T13:09:07Z,Riya Mandal,1,0
Education is the solution for all the problems,2023-01-19T12:30:23Z,Yogi GAURAV,0,0
Salute hai fulan devi ko🙏,2023-01-19T12:10:58Z,Laksh Boricha,0,0
I have watched that movie and ....from same cast tooo...so even before movie ...I have heard lot of stories about her ..since childhood ..as or u can say from same cast ...,2023-01-19T11:41:54Z,Mansi Nishad,0,0
Kinda feel bad for pholoon devi ji😢,2023-01-19T11:35:31Z,Sania Bundel,0,0
Sir ji Sher Singh Rana ke upar story lo bhai,2023-01-19T10:35:52Z,Srikant Naidu,0,0
"Can you do the case study of Junko Furuta. The girl was abducted, tortured, brutally raped for 40 days and then murdered.",2023-01-19T08:42:20Z,Sujay Jawak,0,0
More power to Phoolan Devi 💖,2023-01-19T08:38:51Z,Hashim Sid,1,0
Hey I have a request can u make a video on Ishmeet singh murder mystery no one yet made it ......plz,2023-01-19T06:36:57Z,Manjeet Kaur,0,0
Keep up the good work bro soon you're going to be viral,2023-01-19T05:25:26Z,Akshat Nehra,0,0
Haseena Parkar,2023-01-19T01:01:02Z,HASSAN,0,0
Phoolan Devi mc,2023-01-18T20:08:00Z,Gautam chauhan,0,0
😢,2023-01-18T18:46:42Z,bhoju rajasthani,0,0
"Yes the biography named ""the bandit queen"" shows the story you told. That movie starring Monoj Bajpai in the role of Vikram Malla. That movie is pure cult.",2023-01-18T18:41:55Z,VARTIKA PATEL,2,0
U are looking like Aryan khan,2023-01-18T18:15:28Z,Dibyasha Jagadev,0,0
"Mei jab chhoti thi..10 saal aas paas... Mujhe mere chacha ""Dasyu Nayika (Bandit queen) PHOOLAN DEVI"" bulate the. Mujhe nehi pataa Kyun. Mei gharme sabse chhoti thi aur jiddi, straight forward bhi ....isiliye sayad. Mujhe to dasyu kya matlab bhi nehi pataa tha. mujhe lagta tha koi film ke Heroin honge PHOOLAN DEVI.... Abhi pataa chalaa 👏👏",2023-01-18T17:44:50Z,S.M. Selina Dhal,0,0
Hoodie from where,2023-01-18T17:38:04Z,Samruddhi Rathore,0,0
You look like Aryan Khan 😂😂 literally aedam same to same,2023-01-18T17:29:45Z,Isha Tripathi,0,0
Talk about hello kitty case,2023-01-18T17:21:25Z,wildscargamer,1,0
"give me your voice, nahh fr give that shit to me",2023-01-18T17:20:22Z,Melster,0,0
Yes there is a movie based on phoolan devi's life named as BANDIT QUEEN..........there are many scenes and situations which are not disgusted by you,2023-01-18T16:54:05Z,magical girl,1,0
Hey! Srikhal why don't you make video on Marianne bachmeier😅,2023-01-18T15:47:17Z,Shajida Saifi,1,0
phoolan devi🛐,2023-01-18T15:33:16Z,Abhishek kumar Das,0,0
marianne bachmeier documentary needed,2023-01-18T14:06:56Z,DAVID Yadav,0,0
Sher Singh Rana ko pakda nai thaa unhone goli marne ke baad samne se surender kiya thaa ! Or thodi izzat dedo bhai Sher Singh Rana ko,2023-01-18T14:00:07Z,KULDEEP SINGH,0,0
Do you know about junko furutas case??? Like if u can make a video on it it'll be greatful,2023-01-18T13:54:43Z,Mehboob Shaikh,0,0
"Few months ago there was a man cut in odisha for marring 17 or more girls all around India though with the consent of their family but by faking his profession as a doctor, and after a few months of marriage flew to another city with the money he recieve as dowry, in search of another innocent girl. Plz do a case study video on this",2023-01-18T13:39:33Z,Jasmin Behera,2,0
i think you also need  to study and research about sher singh rana and tell his story also cause his story is not normal as,2023-01-18T11:48:20Z,Arvind singh chauhan,0,0
Sher singh rana🔥🚩,2023-01-18T11:48:15Z,solanki official,2,0
"Hey....,
Case recommendation:
THE JEANNETTE TAMAYO CASE",2023-01-18T11:28:45Z,S_Syed,1,0
Please narrate the story of Amora carson,2023-01-18T09:55:58Z,Umamah Ansari,0,0
Make a vedio on reynard sinaga,2023-01-18T09:50:18Z,Simran Mahar,0,0
Thank you for pulling this story❤,2023-01-18T09:33:42Z,Made With Muscle,0,0
Texted you on instagram but got no reply.. lovefromPakistan ✨,2023-01-18T09:12:34Z,MISBAH HASAN,0,0
Junko furuta case.. 🙏,2023-01-18T09:09:53Z,messy me🖇🔥,1,0
